step,t_s,waypoint_x,waypoint_y,expected_x,expected_y,actual_x,actual_y,expected_error,actual_error
0,0.1,1,0.8,0.00937043,0.00749634,0.00937043,0.00749634,1.26862,1.26862
1,0.2,1,0.8,0.0281113,0.022489,0.0281113,0.022489,1.24462,1.24462
2,0.3,1,0.8,0.0562226,0.044978,0.0562226,0.044978,1.20862,1.20862
3,0.4,1,0.8,0.0937043,0.0749634,0.0937043,0.0749634,1.16062,1.16062
4,0.5,1,0.8,0.140556,0.112445,0.140556,0.112445,1.10062,1.10062
5,0.6,1,0.8,0.196779,0.157423,0.196779,0.157423,1.02862,1.02862
6,0.7,1,0.8,0.261717,0.209373,0.261717,0.209373,0.945464,0.945464
7,0.8,1,0.8,0.334068,0.267254,0.334068,0.267254,0.852809,0.852809
8,0.9,1,0.8,0.412487,0.329989,0.412487,0.329989,0.752384,0.752384
9,1,1,0.8,0.495602,0.396481,0.495602,0.396481,0.645945,0.645945
10,1.1,1,0.8,0.582038,0.46563,0.582038,0.46563,0.535253,0.535253
11,1.2,1,0.8,0.670436,0.536349,0.670436,0.536349,0.422048,0.422048
12,1.3,1,0.8,0.75947,0.607576,0.75947,0.607576,0.308028,0.308028
13,1.4,1,0.8,0.847866,0.678292,0.847866,0.678292,0.194827,0.194827
14,1.5,1,0.8,0.934413,0.74753,0.934413,0.74753,0.0839927,0.0839927
15,1.6,1,0.8,1.01798,0.814387,1.01798,0.814387,0.0230301,0.0230301
16,1.7,1,0.8,1.09754,0.878033,1.09754,0.878033,0.124914,0.124914
17,1.8,1,0.8,1.17215,0.937724,1.17215,0.937724,0.220465,0.220465
18,1.9,1,0.8,1.241,0.992799,1.241,0.992799,0.30863,0.30863
19,2,1,0.8,1.30337,1.0427,1.30337,1.0427,0.388506,0.388506
20,2.1,2.2,1.8,1.37485,1.10041,1.37485,1.10041,1.0818,1.0818
21,2.2,2.2,1.8,1.45467,1.16531,1.45467,1.16531,0.978948,0.978948
22,2.3,2.2,1.8,1.54133,1.23619,1.54133,1.23619,0.867023,0.867023
23,2.4,2.2,1.8,1.63332,1.31176,1.63332,1.31176,0.748003,0.748003
24,2.5,2.2,1.8,1.72909,1.39077,1.72909,1.39077,0.623877,0.623877
25,2.6,2.2,1.8,1.82715,1.47196,1.82715,1.47196,0.496618,0.496618
26,2.7,2.2,1.8,1.92602,1.55408,1.92602,1.55408,0.368162,0.368162
27,2.8,2.2,1.8,2.02427,1.63595,2.02427,1.63595,0.240402,0.240402
28,2.9,2.2,1.8,2.12056,1.71643,2.12056,1.71643,0.115298,0.115298
29,3,2.2,1.8,2.21363,1.79446,2.21363,1.79446,0.0147156,0.0147156
30,3.1,2.2,1.8,2.30233,1.86906,2.30238,1.8691,0.123451,0.123516
31,3.2,2.2,1.8,2.38559,1.93934,2.38682,1.94031,0.232077,0.233643
32,3.3,2.2,1.8,2.46252,2.0045,2.46698,2.00807,0.332768,0.338483
33,3.4,2.2,1.8,2.5323,2.06386,2.54287,2.07236,0.424322,0.437881
34,3.5,2.2,1.8,2.5943,2.11686,2.6145,2.13318,0.505838,0.531803
35,3.6,2.2,1.8,2.64798,2.16304,2.68187,2.1905,0.576616,0.620237
36,3.7,2.2,1.8,2.69298,2.20206,2.745,2.24433,0.636143,0.703178
37,3.8,2.2,1.8,2.72905,2.23369,2.80389,2.29466,0.684091,0.780625
38,3.9,2.2,1.8,2.75609,2.25783,2.85854,2.34149,0.720307,0.852575
39,4,2.2,1.8,2.77412,2.27447,2.90896,2.3848,0.744812,0.919027
40,4.1,3.5,1.1,2.7979,2.28057,2.96096,2.42285,1.37357,1.42846
41,4.2,3.5,1.1,2.82721,2.27603,3.01433,2.45557,1.35488,1.43994
42,4.3,3.5,1.1,2.86188,2.26075,3.06886,2.48291,1.32459,1.44856
43,4.4,3.5,1.1,2.90169,2.23463,3.12434,2.50483,1.28271,1.45419
44,4.5,3.5,1.1,2.9464,2.19755,3.18054,2.52131,1.22926,1.45677
45,4.6,3.5,1.1,2.99575,2.1494,3.23726,2.5323,1.16427,1.4562
46,4.7,3.5,1.1,3.04942,2.09007,3.29463,2.53132,1.08777,1.44598
47,4.8,3.5,1.1,3.10699,2.01954,3.35218,2.51833,1,1.42602
48,4.9,3.5,1.1,3.16746,1.93931,3.40941,2.49335,0.902782,1.3963
49,5,3.5,1.1,3.22987,1.85094,3.46578,2.45641,0.798043,1.35684
50,5.1,3.5,1.1,3.29326,1.75603,3.52074,2.40754,0.687835,1.3077
51,5.2,3.5,1.1,3.35668,1.65621,3.57368,2.34685,0.574377,1.24902
52,5.3,3.5,1.1,3.41926,1.55309,3.6239,2.27446,0.460232,1.18098
53,5.4,3.5,1.1,3.48015,1.44828,3.67064,2.1906,0.348841,1.10387
54,5.5,3.5,1.1,3.53858,1.3433,3.71301,2.09555,0.24634,1.01809
55,5.6,3.5,1.1,3.59384,1.23964,3.7505,1.99085,0.168245,0.925397
56,5.7,3.5,1.1,3.64531,1.13869,3.78279,1.87838,0.150368,0.828161
57,5.8,3.5,1.1,3.69242,1.04174,3.80967,1.76008,0.201041,0.72911
58,5.9,3.5,1.1,3.73471,0.949972,3.831,1.63786,0.278564,0.631552
59,6,3.5,1.1,3.77182,0.864432,3.84674,1.51361,0.359692,0.539727
60,6.1,4.2,2.6,3.81075,0.790752,3.86488,1.40112,1.85065,1.24483
61,6.2,4.2,2.6,3.85121,0.728974,3.88511,1.30045,1.90326,1.33716
62,6.3,4.2,2.6,3.89294,0.679129,3.90716,1.21163,1.94526,1.41891
63,6.4,4.2,2.6,3.93566,0.641244,3.9308,1.13471,1.97651,1.48981
64,6.5,4.2,2.6,3.97911,0.615336,3.95578,1.06972,1.99692,1.54965
65,6.6,4.2,2.6,4.02304,0.601418,3.98188,1.01667,2.0064,1.59828
66,6.7,4.2,2.6,4.06717,0.599499,4.00891,0.975589,2.00491,1.63561
67,6.8,4.2,2.6,4.11125,0.60958,4.03664,0.946486,1.9924,1.66156
68,6.9,4.2,2.6,4.155,0.631656,4.06488,0.929371,1.96886,1.67608
69,7,4.2,2.6,4.19815,0.665717,4.09343,0.924253,1.93428,1.67913
70,7.1,4.2,2.6,4.24041,0.711745,4.12209,0.931134,1.88869,1.67068
71,7.2,4.2,2.6,4.28145,0.769711,4.15064,0.950015,1.8321,1.65072
72,7.3,4.2,2.6,4.32095,0.839578,4.17887,0.980891,1.76457,1.61925
73,7.4,4.2,2.6,4.35854,0.921291,4.20655,1.02375,1.68618,1.57626
74,7.5,4.2,2.6,4.3938,1.01478,4.23344,1.07859,1.59703,1.52178
75,7.6,4.2,2.6,4.42628,1.11993,4.25926,1.14538,1.49726,1.45582
76,7.7,4.2,2.6,4.45542,1.23662,4.28372,1.22409,1.3871,1.37845
77,7.8,4.2,2.6,4.48056,1.36462,4.30645,1.31468,1.26684,1.28972
78,7.9,4.2,2.6,4.50088,1.50361,4.32706,1.41708,1.13693,1.18972
