step,t_s,waypoint_x,waypoint_y,expected_x,expected_y,actual_x,actual_y,expected_error,actual_error
0,0.1,1,0.8,0.00937043,0.00749634,0.00937043,0.00749634,1.26862,1.26862
1,0.2,1,0.8,0.0281113,0.022489,0.0281113,0.022489,1.24462,1.24462
2,0.3,1,0.8,0.0562226,0.044978,0.0562226,0.044978,1.20862,1.20862
3,0.4,1,0.8,0.0937043,0.0749634,0.0937043,0.0749634,1.16062,1.16062
4,0.5,1,0.8,0.140556,0.112445,0.140556,0.112445,1.10062,1.10062
5,0.6,1,0.8,0.196779,0.157423,0.196779,0.157423,1.02862,1.02862
6,0.7,1,0.8,0.261717,0.209373,0.261717,0.209373,0.945464,0.945464
7,0.8,1,0.8,0.334068,0.267254,0.334068,0.267254,0.852809,0.852809
8,0.9,1,0.8,0.412487,0.329989,0.412487,0.329989,0.752384,0.752384
9,1,1,0.8,0.495602,0.396481,0.495602,0.396481,0.645945,0.645945
10,1.1,1,0.8,0.582038,0.46563,0.582038,0.46563,0.535253,0.535253
11,1.2,1,0.8,0.670436,0.536349,0.670436,0.536349,0.422048,0.422048
12,1.3,1,0.8,0.75947,0.607576,0.75947,0.607576,0.308028,0.308028
13,1.4,1,0.8,0.847866,0.678292,0.847866,0.678292,0.194827,0.194827
14,1.5,1,0.8,0.934413,0.74753,0.934413,0.74753,0.0839927,0.0839927
15,1.6,1,0.8,1.01798,0.814387,1.01798,0.814387,0.0230301,0.0230301
16,1.7,1,0.8,1.09754,0.878033,1.11984,0.895876,0.124914,0.153476
17,1.8,1,0.8,1.17215,0.937724,1.193,0.954396,0.220465,0.247154
18,1.9,1,0.8,1.241,0.992799,1.26015,1.00812,0.30863,0.333158
19,2,1,0.8,1.30337,1.0427,1.32065,1.05652,0.388506,0.410626
20,2.1,2.2,1.8,1.37485,1.10041,1.39024,1.11273,1.0818,1.0621
21,2.2,2.2,1.8,1.45467,1.16531,1.46805,1.17603,0.978948,0.961819
22,2.3,2.2,1.8,1.54133,1.23619,1.5526,1.24522,0.867023,0.852593
23,2.4,2.2,1.8,1.63332,1.31176,1.6424,1.31906,0.748003,0.736352
24,2.5,2.2,1.8,1.72909,1.39077,1.73598,1.39632,0.623877,0.615044
25,2.6,2.2,1.8,1.82715,1.47196,1.83184,1.47574,0.496618,0.490599
26,2.7,2.2,1.8,1.92602,1.55408,1.92853,1.55614,0.368162,0.364914
27,2.8,2.2,1.8,2.02427,1.63595,2.02468,1.63633,0.240402,0.239843
28,2.9,2.2,1.8,2.12056,1.71643,2.11896,1.7152,0.115298,0.117296
29,3,2.2,1.8,2.21363,1.79446,2.23627,1.81374,0.0147156,0.038783
30,3.1,2.2,1.8,2.30233,1.86906,2.32193,1.88594,0.123451,0.149178
31,3.2,2.2,1.8,2.38559,1.93934,2.40204,1.95369,0.232077,0.253851
32,3.3,2.2,1.8,2.46252,2.0045,2.47571,2.01624,0.332768,0.350392
33,3.4,2.2,1.8,2.5323,2.06386,2.56412,2.09129,0.424322,0.466296
34,3.5,2.2,1.8,2.5943,2.11686,2.65252,2.16635,0.505838,0.582227
35,3.6,2.2,1.8,2.64798,2.16304,2.71693,2.22127,0.576616,0.666846
36,3.7,2.2,1.8,2.69298,2.20206,2.77209,2.26855,0.636143,0.739471
37,3.8,2.2,1.8,2.72905,2.23369,2.818,2.30817,0.684091,0.8001
38,3.9,2.2,1.8,2.75609,2.25783,2.85467,2.34013,0.720307,0.848731
39,4,2.2,1.8,2.77412,2.27447,2.88213,2.36442,0.744812,0.885364
40,4.1,3.5,1.1,2.7979,2.28057,2.91399,2.37754,1.37357,1.40553
41,4.2,3.5,1.1,2.82721,2.27603,2.96238,2.37556,1.35488,1.38423
42,4.3,3.5,1.1,2.86188,2.26075,3.00336,2.36264,1.32459,1.3568
43,4.4,3.5,1.1,2.90169,2.23463,3.04777,2.33822,1.28271,1.31822
44,4.5,3.5,1.1,2.9464,2.19755,3.09527,2.3022,1.22926,1.2685
45,4.6,3.5,1.1,2.99575,2.1494,3.14549,2.2545,1.16427,1.2077
46,4.7,3.5,1.1,3.04942,2.09007,3.19798,2.19501,1.08777,1.1359
47,4.8,3.5,1.1,3.10699,2.01954,3.25222,2.12365,1,1.05321
48,4.9,3.5,1.1,3.16746,1.93931,3.30749,2.04117,0.902782,0.960656
49,5,3.5,1.1,3.22987,1.85094,3.36296,1.94923,0.798043,0.86021
50,5.1,3.5,1.1,3.29326,1.75603,3.41786,1.84953,0.687835,0.754016
51,5.2,3.5,1.1,3.35668,1.65621,3.47144,1.74383,0.574377,0.644459
52,5.3,3.5,1.1,3.41926,1.55309,3.52301,1.63387,0.460232,0.534362
53,5.4,3.5,1.1,3.48015,1.44828,3.57193,1.52138,0.348841,0.427477
54,5.5,3.5,1.1,3.53858,1.3433,3.61765,1.40806,0.24634,0.329759
55,5.6,3.5,1.1,3.59384,1.23964,3.65966,1.29552,0.168245,0.252428
56,5.7,3.5,1.1,3.64531,1.13869,3.69755,1.18531,0.150368,0.215181
57,5.8,3.5,1.1,3.69242,1.04174,3.73096,1.07887,0.201041,0.231927
58,5.9,3.5,1.1,3.73471,0.949972,3.75964,0.977508,0.278564,0.287084
59,6,3.5,1.1,3.77182,0.864432,3.78339,0.882425,0.359692,0.357281
60,6.1,4.2,2.6,3.81075,0.790752,3.80914,0.799177,1.85065,1.84275
61,6.2,4.2,2.6,3.85121,0.728974,3.83665,0.727797,1.90326,1.90714
62,6.3,4.2,2.6,3.89294,0.679129,3.86571,0.668316,1.94526,1.9604
63,6.4,4.2,2.6,3.93566,0.641244,3.89613,0.620758,1.97651,2.00243
64,6.5,4.2,2.6,3.97911,0.615336,3.92771,0.585144,1.99692,2.03317
65,6.6,4.2,2.6,4.02304,0.601418,3.96024,0.561493,2.0064,2.05256
66,6.7,4.2,2.6,4.06717,0.599499,3.99354,0.549816,2.00491,2.06055
67,6.8,4.2,2.6,4.11125,0.60958,4.02741,0.550127,1.9924,2.05713
68,6.9,4.2,2.6,4.155,0.631656,4.06166,0.562431,1.96886,2.04226
69,7,4.2,2.6,4.19815,0.665717,4.09607,0.586734,1.93428,2.01595
70,7.1,4.2,2.6,4.24041,0.711745,4.13044,0.623037,1.88869,1.97819
71,7.2,4.2,2.6,4.28145,0.769711,4.16455,0.671337,1.8321,1.92899
72,7.3,4.2,2.6,4.32095,0.839578,4.19816,0.731627,1.76457,1.86837
73,7.4,4.2,2.6,4.35854,0.921291,4.231,0.803893,1.68618,1.79637
74,7.5,4.2,2.6,4.3938,1.01478,4.26281,0.888113,1.59703,1.71304
75,7.6,4.2,2.6,4.42628,1.11993,4.29324,0.984255,1.49726,1.61843
76,7.7,4.2,2.6,4.45542,1.23662,4.32195,1.09227,1.3871,1.51265
77,7.8,4.2,2.6,4.48056,1.36462,4.34847,1.21209,1.26684,1.39583
78,7.9,4.2,2.6,4.50088,1.50361,4.37227,1.34359,1.13693,1.26816
