step,t_s,waypoint_x,waypoint_y,expected_x,expected_y,actual_x,actual_y,expected_error,actual_error
0,0.1,1,0.8,0.00937043,0.00749634,0.00937043,0.00749634,1.26862,1.26862
1,0.2,1,0.8,0.0281113,0.022489,0.0281113,0.022489,1.24462,1.24462
2,0.3,1,0.8,0.0562226,0.044978,0.0562226,0.044978,1.20862,1.20862
3,0.4,1,0.8,0.0937043,0.0749634,0.0937043,0.0749634,1.16062,1.16062
4,0.5,1,0.8,0.140556,0.112445,0.140556,0.112445,1.10062,1.10062
5,0.6,1,0.8,0.196779,0.157423,0.196779,0.157423,1.02862,1.02862
6,0.7,1,0.8,0.261717,0.209373,0.261717,0.209373,0.945464,0.945464
7,0.8,1,0.8,0.334068,0.267254,0.334068,0.267254,0.852809,0.852809
8,0.9,1,0.8,0.412487,0.329989,0.412487,0.329989,0.752384,0.752384
9,1,1,0.8,0.495602,0.396481,0.495602,0.396481,0.645945,0.645945
10,1.1,1,0.8,0.582038,0.46563,0.582038,0.46563,0.535253,0.535253
11,1.2,1,0.8,0.670436,0.536349,0.670436,0.536349,0.422048,0.422048
12,1.3,1,0.8,0.75947,0.607576,0.75947,0.607576,0.308028,0.308028
13,1.4,1,0.8,0.847866,0.678292,0.847866,0.678292,0.194827,0.194827
14,1.5,1,0.8,0.934413,0.74753,0.934413,0.74753,0.0839927,0.0839927
15,1.6,1,0.8,1.01798,0.814387,1.01798,0.814387,0.0230301,0.0230301
16,1.7,1,0.8,1.09754,0.878033,1.11984,0.895876,0.124914,0.153476
17,1.8,1,0.8,1.17215,0.937724,1.193,0.954396,0.220465,0.247154
18,1.9,1,0.8,1.241,0.992799,1.26118,1.00894,0.30863,0.334469
19,2,1,0.8,1.30337,1.0427,1.32263,1.05811,0.388506,0.413172
20,2.1,2.2,1.8,1.37485,1.10041,1.39319,1.11509,1.0818,1.05832
21,2.2,2.2,1.8,1.45467,1.16531,1.47187,1.1791,0.978948,0.956916
22,2.3,2.2,1.8,1.54133,1.23619,1.55721,1.24892,0.867023,0.846684
23,2.4,2.2,1.8,1.63332,1.31176,1.6477,1.32331,0.748003,0.729567
24,2.5,2.2,1.8,1.72909,1.39077,1.74312,1.40207,0.623877,0.605877
25,2.6,2.2,1.8,1.82715,1.47196,1.84198,1.48396,0.496618,0.477557
26,2.7,2.2,1.8,1.92602,1.55408,1.94409,1.56882,0.368162,0.344868
27,2.8,2.2,1.8,2.02427,1.63595,2.04926,1.65647,0.240402,0.208144
28,2.9,2.2,1.8,2.12056,1.71643,2.15727,1.74671,0.115298,0.068308
29,3,2.2,1.8,2.21363,1.79446,2.30208,1.86806,0.0147156,0.122684
30,3.1,2.2,1.8,2.30233,1.86906,2.41578,1.96354,0.123451,0.270747
31,3.2,2.2,1.8,2.38559,1.93934,2.53151,2.06091,0.232077,0.421868
32,3.3,2.2,1.8,2.46252,2.0045,2.64895,2.15989,0.332768,0.575393
33,3.4,2.2,1.8,2.5323,2.06386,2.78987,2.27867,0.424322,0.759657
34,3.5,2.2,1.8,2.5943,2.11686,2.9308,2.39745,0.505838,0.943937
35,3.6,2.2,1.8,2.64798,2.16304,3.04897,2.49723,0.576616,1.09858
36,3.7,2.2,1.8,2.69298,2.20206,3.16749,2.59745,0.636143,1.25378
37,3.8,2.2,1.8,2.72905,2.23369,3.28598,2.69782,0.684091,1.40906
38,3.9,2.2,1.8,2.75609,2.25783,3.40404,2.79798,0.720307,1.56387
39,4,2.2,1.8,2.77412,2.27447,3.52125,2.89757,0.744812,1.71766
40,4.1,3.5,1.1,2.7979,2.28057,3.63745,2.99176,1.37357,1.89674
41,4.2,3.5,1.1,2.82721,2.27603,3.7864,3.10514,1.35488,2.02549
42,4.3,3.5,1.1,2.86188,2.26075,3.89946,3.18708,1.32459,2.12496
43,4.4,3.5,1.1,2.90169,2.23463,4.01082,3.26378,1.28271,2.22326
44,4.5,3.5,1.1,2.9464,2.19755,4.12032,3.33531,1.22926,2.31979
45,4.6,3.5,1.1,2.99575,2.1494,4.2278,3.40172,1.16427,2.41405
46,4.7,3.5,1.1,3.04942,2.09007,4.33057,3.4571,1.08777,2.49915
47,4.8,3.5,1.1,3.10699,2.01954,4.42834,3.50156,1,2.57475
48,4.9,3.5,1.1,3.16746,1.93931,4.52085,3.53525,0.902782,2.64056
49,5,3.5,1.1,3.22987,1.85094,4.60784,3.55827,0.798043,2.69637
50,5.1,3.5,1.1,3.29326,1.75603,4.68906,3.57078,0.687835,2.74201
51,5.2,3.5,1.1,3.35668,1.65621,4.76428,3.57289,0.574377,2.77733
52,5.3,3.5,1.1,3.41926,1.55309,4.83327,3.56475,0.460232,2.80224
53,5.4,3.5,1.1,3.48015,1.44828,4.8958,3.54648,0.348841,2.81666
54,5.5,3.5,1.1,3.53858,1.3433,4.95167,3.51825,0.24634,2.82051
55,5.6,3.5,1.1,3.59384,1.23964,5.00065,3.48018,0.168245,2.81376
56,5.7,3.5,1.1,3.64531,1.13869,5.04253,3.43245,0.150368,2.79637
57,5.8,3.5,1.1,3.69242,1.04174,5.07709,3.3752,0.201041,2.76835
58,5.9,3.5,1.1,3.73471,0.949972,5.10411,3.30862,0.278564,2.72968
59,6,3.5,1.1,3.77182,0.864432,5.12337,3.23288,0.359692,2.68039
60,6.1,4.2,2.6,3.81075,0.790752,5.13147,3.15274,1.85065,1.08312
61,6.2,4.2,2.6,3.85121,0.728974,5.1281,3.06905,1.90326,1.03989
62,6.3,4.2,2.6,3.89294,0.679129,5.11301,2.98281,1.94526,0.990015
63,6.4,4.2,2.6,3.93566,0.641244,5.086,2.89512,1.97651,0.933863
64,6.5,4.2,2.6,3.97911,0.615336,5.04781,2.80724,1.99692,0.872774
65,6.6,4.2,2.6,4.02304,0.601418,4.99947,2.72041,2.0064,0.808487
66,6.7,4.2,2.6,4.06717,0.599499,4.94211,2.63581,2.00491,0.742973
67,6.8,4.2,2.6,4.11125,0.60958,4.87694,2.55451,1.9924,0.678468
68,6.9,4.2,2.6,4.155,0.631656,4.80523,2.47751,1.96886,0.6175
69,7,4.2,2.6,4.19815,0.665717,4.72827,2.40568,1.93428,0.562875
70,7.1,4.2,2.6,4.24041,0.711745,4.64738,2.33981,1.88869,0.517538
71,7.2,4.2,2.6,4.28145,0.769711,4.56386,2.28055,1.8321,0.484197
72,7.3,4.2,2.6,4.32095,0.839578,4.47901,2.22842,1.76457,0.46467
73,7.4,4.2,2.6,4.35854,0.921291,4.39407,2.18384,1.68618,0.459184
74,7.5,4.2,2.6,4.3938,1.01478,4.31024,2.1471,1.59703,0.466124
75,7.6,4.2,2.6,4.42628,1.11993,4.22864,2.11835,1.49726,0.482502
76,7.7,4.2,2.6,4.45542,1.23662,4.1503,2.09763,1.3871,0.504818
77,7.8,4.2,2.6,4.48056,1.36462,4.07619,2.08489,1.26684,0.529785
78,7.9,4.2,2.6,4.50088,1.50361,4.00715,2.07992,1.13693,0.554684
